"my_date","my_value","bullet","bulletClass","label"
"23.11.2023","88.1648","","",""
"24.11.2023","88.1206","","",""
"25.11.2023","88.8133","","",""
"28.11.2023","88.7045","","",""
"29.11.2023","88.6102","","",""
"30.11.2023","88.8841","","",""
"01.12.2023","88.5819","","",""
"02.12.2023","89.7619","","",""
"05.12.2023","90.6728","","",""
"06.12.2023","91.5823","","",""
"07.12.2023","92.7826","","",""
"08.12.2023","92.5654","","",""
"09.12.2023","91.6402","","",""
"12.12.2023","90.9846","","",""
"13.12.2023","90.2158","","",""
"14.12.2023","89.8926","","",""
"15.12.2023","89.6741","","",""
"16.12.2023","89.6966","","",""
"19.12.2023","90.4162","","",""
"20.12.2023","90.0870","","",""
"21.12.2023","90.4056","","",""
"22.12.2023","91.7062","","",""
"23.12.2023","91.9389","","",""
"26.12.2023","91.9690","","",""
"27.12.2023","91.7069","","",""
"28.12.2023","91.7051","","",""
"29.12.2023","90.3041","","",""
"30.12.2023","89.6883","","",""
"10.01.2024","90.4040","","",""
"11.01.2024","89.3939","","",""
"12.01.2024","88.7818","","",""
"13.01.2024","88.1324","","",""
"16.01.2024","87.6772","","",""
"17.01.2024","87.6457","","",""
"18.01.2024","88.3540","","",""
"19.01.2024","88.6610","","",""
"20.01.2024","88.5896","","",""
"23.01.2024","87.9724","","",""
"24.01.2024","87.9199","","",""
"25.01.2024","88.2829","","",""
"26.01.2024","88.6562","","",""
"27.01.2024","89.5159","","",""
"30.01.2024","89.6090","","",""
"31.01.2024","89.2887","","",""
"01.02.2024","89.6678","","",""
"02.02.2024","90.2299","","",""
"03.02.2024","90.6626","","",""
"06.02.2024","91.2434","","",""
"07.02.2024","90.6842","","",""
"08.02.2024","91.1514","","",""
"09.02.2024","91.2561","","",""
"10.02.2024","90.8901","","",""
"13.02.2024","91.0758","","",""
"14.02.2024","91.2057","","",""
"15.02.2024","91.4316","","",""
"16.02.2024","91.8237","","",""
"17.02.2024","92.5492","","",""
"20.02.2024","92.4102","","",""
"21.02.2024","92.3490","","",""
"22.02.2024","92.4387","","",""
"23.02.2024","92.7519","","",""
"27.02.2024","92.6321","","",""
"28.02.2024","92.0425","","",""
"29.02.2024","91.8692","","",""
"01.03.2024","90.8423","","",""
"02.03.2024","91.3336","","",""
"05.03.2024","91.3534","","",""
"06.03.2024","91.1604","","",""
"07.03.2024","90.3412","","",""
"08.03.2024","90.7493","","",""
"12.03.2024","90.6252","","",""
"13.03.2024","90.8818","","",""
"19.03.2024","91.9829","","",""
"20.03.2024","92.2243","","",""
"21.03.2024","92.6861","","",""
"22.03.2024","91.9499","","",""
"23.03.2024","92.6118","","",""
"26.03.2024","92.7761","","",""
